127.0.0.1 - - [03/Jun/2020:12:16:45 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:16:46 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:16:46 +0530] "GET /WebApp-01/CSS/indexStyle.css HTTP/1.1" 200 5090
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:16:46 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 200 62147
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:16:46 +0530] "GET /WebApp-01/IMG/sidewalk.png HTTP/1.1" 200 9984
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:16:46 +0530] "GET /WebApp-01/IMG/car1.png HTTP/1.1" 200 843468
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:16:46 +0530] "GET /WebApp-01/IMG/truck1.png HTTP/1.1" 200 63992
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:16:46 +0530] "GET /WebApp-01/IMG/Road.png HTTP/1.1" 200 3559
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:16:46 +0530] "GET /WebApp-01/IMG/car2.png HTTP/1.1" 200 32401
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:16:46 +0530] "GET /WebApp-01/IMG/Runner.gif HTTP/1.1" 200 296151
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:16:46 +0530] "GET /WebApp-01/IMG/dog.gif HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:16:48 +0530] "GET /WebApp-01/CSS/EZPASS.jpg HTTP/1.1" 200 179442
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:16:48 +0530] "GET /WebApp-01/CSS/loadingImg.gif HTTP/1.1" 200 29961
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:17:33 +0530] "GET /WebApp-01/ HTTP/1.1" 200 2607
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:17:33 +0530] "GET /WebApp-01/IMG/statusNULL.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jun/2020:12:17:33 +0530] "GET /favicon.ico HTTP/1.1" 404 720
